id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter
509,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales Analysis""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,,,{},sale.report,current,"pivot,tree,graph",kanban,,
510,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotations Analysis""}","{""en_US"": ""<p>This report performs analysis on your quotations. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.</p>""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,,"[('state','=','draft'),('team_id', '=', active_id)]",{'search_default_order_month':1},sale.report,current,"graph,tree",kanban,,
511,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales Analysis""}","{""en_US"": ""<p>This report performs analysis on your sales orders. Analysis check your sales revenues and sort it by different group criteria (salesman, partner, product, etc.) Use this report to perform analysis on sales not having invoiced yet. If you want to analyse your turnover, you should use the Invoice Analysis report in the Accounting application.</p>""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,,"[('state','not in',('draft','cancel'))]","{
            'search_default_Sales': 1,
            'search_default_filter_date': 1,
            'search_default_team_id': [active_id]}",sale.report,current,"graph,tree",kanban,,
518,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales Orders""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a new quotation, the first step of a new sale!\n            </p><p>\n                Once the quotation is confirmed, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2257,"[('state', 'not in', ('draft', 'sent', 'cancel'))]",{},sale.order,current,"tree,kanban,form,calendar,pivot,graph,activity",kanban,,
519,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotations""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Create a new quotation, the first step of a new sale!\n            </p><p>\n            Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,2253,,80,2256,,{'search_default_my_quotation': 1},sale.order,current,"tree,kanban,form,calendar,pivot,graph,activity",kanban,,
520,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotations""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Create a new quotation, the first step of a new sale!\n            </p><p>\n            Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2256,,{'search_default_my_quotation': 1},sale.order,current,"tree,kanban,form,calendar,pivot,graph,activity",kanban,,
521,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Orders to Invoice""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            No orders to invoice found\n            </p><p>\n            You can select all orders and invoice them in batch,<br>\n            or check every order and invoice them one by one.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2255,"[('invoice_status','=','to invoice')]",{'create': False},sale.order,current,"tree,form,calendar,graph,pivot,kanban,activity",kanban,,
522,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Orders to Upsell""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            No orders to upsell found.\n            </p><p>\n            An order is to upsell when delivered quantities are above initially\n            ordered quantities, and the invoicing policy is based on ordered quantities.\n            </p><p>\n            As an example, if you sell pre-paid hours of services, Odoo recommends you\n            to sell extra hours when all ordered hours have been consumed.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2255,"[('invoice_status','=','upselling')]",{'create': False},sale.order,current,"tree,form,calendar,graph,pivot,kanban,activity",kanban,,
525,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Invoices""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a customer invoice\n            </p><p>\n                Create invoices, register payments and keep track of the discussions with your customers.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,1989,,80,2001,"[
            ('state', '=', 'posted'),
            ('move_type', 'in', ['out_invoice', 'out_refund'])]","{
                'search_default_team_id': [active_id],
                'default_team_id': active_id,
                'default_move_type':'out_invoice',
                'move_type':'out_invoice',
                'journal_type': 'sale',
            }
        ",account.move,current,"tree,form,kanban",kanban,,
526,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Quotations""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Create a new quotation, the first step of a new sale!\n            </p><p>\n            Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,2252,,80,2256,[],"{
                'search_default_team_id': [active_id],
                'default_team_id': active_id,
                'show_address': 1,
            }
        ",sale.order,current,"tree,form,calendar,graph,kanban,pivot",kanban,,
527,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""New Quotation""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2256,,"{
                'search_default_team_id': [active_id],
                'default_team_id': active_id,
                'default_user_id': uid,
        }
        ",sale.order,current,form,kanban,,
528,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales Orders""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n            Create a new quotation, the first step of a new sale!\n            </p><p>\n            Once the quotation is confirmed by the customer, it becomes a sales order.<br> You will be able to create an invoice and collect the payment.\n            </p>\n        ""}",2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2257,"[('state','not in',('draft','sent','cancel'))]","{
                'search_default_team_id': [active_id],
                'default_team_id': active_id,
            }
        ",sale.order,current,"tree,form,calendar,graph,kanban,pivot",kanban,,
529,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Sales Orders""}",,2024-04-18 07:47:12.503609,2024-04-18 07:47:12.503609,,,80,2257,"[('invoice_status','=','to invoice')]","{
                'search_default_team_id': [active_id],
                'default_team_id': active_id,
            }
        ",sale.order,current,"tree,form,calendar,graph,kanban,pivot",kanban,,
