id,field_id,sequence,create_uid,write_uid,value,name,create_date,write_date
500,3201,1,,,sms_number_missing,"{""en_US"": ""Missing Number""}",,
501,3201,2,,,sms_number_format,"{""en_US"": ""Wrong Number Format""}",,
502,3201,3,,,sms_country_not_supported,"{""en_US"": ""Country Not Supported""}",,
503,3201,4,,,sms_registration_needed,"{""en_US"": ""Country-specific Registration Required""}",,
504,3201,5,,,sms_credit,"{""en_US"": ""Insufficient Credit""}",,
505,3201,6,,,sms_server,"{""en_US"": ""Server Error""}",,
506,3201,7,,,sms_acc,"{""en_US"": ""Unregistered Account""}",,
507,3201,8,,,sms_blacklist,"{""en_US"": ""Blacklisted""}",,
508,3201,9,,,sms_duplicate,"{""en_US"": ""Duplicate""}",,
509,3201,10,,,sms_optout,"{""en_US"": ""Opted Out""}",,
510,3232,0,,,numbers,"{""en_US"": ""Send to numbers""}",,
511,3232,1,,,comment,"{""en_US"": ""Post on a document""}",,
512,3232,2,,,mass,"{""en_US"": ""Send SMS in batch""}",,
513,2022,7,,,snailmail,"{""en_US"": ""Snailmail""}",,
514,1820,3,,,snail,"{""en_US"": ""Snailmail""}",,
515,1824,19,,,sn_credit,"{""en_US"": ""Snailmail Credit Error""}",,
516,1824,20,,,sn_trial,"{""en_US"": ""Snailmail Trial Error""}",,
517,1824,21,,,sn_price,"{""en_US"": ""Snailmail No Price Available""}",,
518,1824,22,,,sn_fields,"{""en_US"": ""Snailmail Missing Required Fields""}",,
519,1824,23,,,sn_format,"{""en_US"": ""Snailmail Format Error""}",,
520,1824,24,,,sn_error,"{""en_US"": ""Snailmail Unknown Error""}",,
521,3343,0,,,pending,"{""en_US"": ""In Queue""}",,
522,3343,1,,,sent,"{""en_US"": ""Sent""}",,
523,3343,2,,,error,"{""en_US"": ""Error""}",,
524,3343,3,,,canceled,"{""en_US"": ""Canceled""}",,
525,3344,0,,,MISSING_REQUIRED_FIELDS,"{""en_US"": ""MISSING_REQUIRED_FIELDS""}",,
526,3344,1,,,CREDIT_ERROR,"{""en_US"": ""CREDIT_ERROR""}",,
527,3344,2,,,TRIAL_ERROR,"{""en_US"": ""TRIAL_ERROR""}",,
528,3344,3,,,NO_PRICE_AVAILABLE,"{""en_US"": ""NO_PRICE_AVAILABLE""}",,
529,3344,4,,,FORMAT_ERROR,"{""en_US"": ""FORMAT_ERROR""}",,
530,3344,5,,,UNKNOWN_ERROR,"{""en_US"": ""UNKNOWN_ERROR""}",,
531,3344,6,,,ATTACHMENT_ERROR,"{""en_US"": ""ATTACHMENT_ERROR""}",,
532,3387,0,,,daily,"{""en_US"": ""Daily""}",,
533,3387,1,,,weekly,"{""en_US"": ""Weekly""}",,
534,3387,2,,,monthly,"{""en_US"": ""Monthly""}",,
535,3387,3,,,quarterly,"{""en_US"": ""Quarterly""}",,
536,3393,0,,,activated,"{""en_US"": ""Activated""}",,
537,3393,1,,,deactivated,"{""en_US"": ""Deactivated""}",,
538,3441,0,,,classic,"{""en_US"": ""Classic""}",,
539,3639,0,,,b2b,"{""en_US"": ""On invitation""}",,
540,3639,1,,,b2c,"{""en_US"": ""Free sign up""}",,
541,3738,0,,,404,"{""en_US"": ""404 Not Found""}",,
542,3738,1,,,301,"{""en_US"": ""301 Moved permanently""}",,
543,3738,2,,,302,"{""en_US"": ""302 Moved temporarily""}",,
544,3738,3,,,308,"{""en_US"": ""308 Redirect / Rewrite""}",,
545,3757,0,,,"","{""en_US"": ""All""}",,
546,3757,1,,,connected,"{""en_US"": ""Signed In""}",,
547,3757,2,,,restricted_group,"{""en_US"": ""Restricted Group""}",,
548,3757,3,,,password,"{""en_US"": ""With Password""}",,
549,3806,0,,,append,"{""en_US"": ""Append""}",,
550,3806,1,,,prepend,"{""en_US"": ""Prepend""}",,
551,3806,2,,,after,"{""en_US"": ""After""}",,
552,3806,3,,,before,"{""en_US"": ""Before""}",,
553,3806,4,,,remove,"{""en_US"": ""Remove""}",,
554,3806,5,,,replace,"{""en_US"": ""Replace""}",,
555,3806,6,,,include,"{""en_US"": ""Include""}",,
556,3822,0,,,primary,"{""en_US"": ""Base view""}",,
557,3822,1,,,extension,"{""en_US"": ""Extension View""}",,
558,3826,0,,,ir.ui.view,"{""en_US"": ""ir.ui.view""}",,
559,3826,1,,,theme.ir.ui.view,"{""en_US"": ""theme.ir.ui.view""}",,
560,3956,0,,,listing,"{""en_US"": ""Listing""}",,
561,3956,1,,,single,"{""en_US"": ""Single record""}",,
562,3958,0,,,grid,"{""en_US"": ""Grid""}",,
563,3958,1,,,list,"{""en_US"": ""List""}",,
564,4059,0,,,normal,"{""en_US"": ""Normal""}",,
565,4059,1,,,GPA,"{""en_US"": ""GPA""}",,
566,4059,2,,,CWA,"{""en_US"": ""CWA""}",,
567,4059,3,,,CCE,"{""en_US"": ""CCE""}",,
568,4072,0,,,overdue,"{""en_US"": ""Overdue""}",,
569,4072,1,,,today,"{""en_US"": ""Today""}",,
570,4072,2,,,planned,"{""en_US"": ""Planned""}",,
571,4079,0,,,warning,"{""en_US"": ""Alert""}",,
572,4079,1,,,danger,"{""en_US"": ""Error""}",,
573,4098,0,,,A+,"{""en_US"": ""A+ve""}",,
574,4098,1,,,B+,"{""en_US"": ""B+ve""}",,
575,4098,2,,,O+,"{""en_US"": ""O+ve""}",,
576,4098,3,,,AB+,"{""en_US"": ""AB+ve""}",,
577,4098,4,,,A-,"{""en_US"": ""A-ve""}",,
578,4098,5,,,B-,"{""en_US"": ""B-ve""}",,
579,4098,6,,,O-,"{""en_US"": ""O-ve""}",,
580,4098,7,,,AB-,"{""en_US"": ""AB-ve""}",,
581,4099,0,,,male,"{""en_US"": ""Male""}",,
582,4099,1,,,female,"{""en_US"": ""Female""}",,
583,4246,0,,,running,"{""en_US"": ""Running""}",,
584,4246,1,,,finished,"{""en_US"": ""Finished""}",,
585,4254,0,,,overdue,"{""en_US"": ""Overdue""}",,
586,4254,1,,,today,"{""en_US"": ""Today""}",,
587,4254,2,,,planned,"{""en_US"": ""Planned""}",,
588,4261,0,,,warning,"{""en_US"": ""Alert""}",,
589,4261,1,,,danger,"{""en_US"": ""Error""}",,
590,4279,0,,,A+,"{""en_US"": ""A+ve""}",,
591,4279,1,,,B+,"{""en_US"": ""B+ve""}",,
592,4279,2,,,O+,"{""en_US"": ""O+ve""}",,
593,4279,3,,,AB+,"{""en_US"": ""AB+ve""}",,
594,4279,4,,,A-,"{""en_US"": ""A-ve""}",,
