id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
104,25,4,1,1,ir_actions_todo group system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
105,21,4,1,1,ir_actions_act_window_view_group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
106,23,4,1,1,ir_actions_act_url_group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
107,24,4,1,1,ir_actions_server_group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
108,26,4,1,1,ir_actions_client all,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
109,87,4,1,1,res_bank_group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
110,87,9,1,1,res_bank_group_partner_manager,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
111,87,1,1,1,res_bank user,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
112,32,2,1,1,ir_filters all,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
113,32,1,1,1,ir_filters all,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
114,32,10,1,1,ir_filters all,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
115,32,11,1,1,ir_filters all,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
116,37,4,1,1,ir_config_parameter_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
117,39,4,1,1,ir_mail_server,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
118,63,2,1,1,ir_logging admin,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
119,73,1,1,1,ir_actions_report_paperformat group_portal,t,t,f,f,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
120,73,4,1,1,ir_actions_report_paperformat group_system,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
121,72,1,1,1,access_report_layout,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
122,11,4,1,1,access.wizard.ir.model.menu.create,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
123,17,2,1,1,access.reset.view.arch.wizard,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
124,69,4,1,1,access.ir.demo,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
125,70,4,1,1,access.ir.demo_failure,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
126,71,4,1,1,access.ir.demo_failure.wizard,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
127,89,4,1,1,access.res.config,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
128,90,4,1,1,access.res.config.installer,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
129,91,4,1,1,access.res.config.settings,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
130,99,2,1,1,access.change.password.wizard,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
131,100,2,1,1,access.change.password.user,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
132,101,1,1,1,access.change.password.own,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
133,109,4,1,1,access.base.module.update,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
134,110,4,1,1,access.base.language.install,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
135,111,4,1,1,access.base.language.import,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
136,112,4,1,1,access.base.module.upgrade,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
137,113,4,1,1,access.base.module.uninstall,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
138,114,1,1,1,access.base.language.export,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
139,115,9,1,1,access.base.partner.merge.line,t,t,t,t,t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
140,116,9,1,1,access.base.partner.merge.automatic.wizard,t,t,t,t,f,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
