id,model,module,create_uid,write_uid,name,definition,type,message,write_date,create_date
71,14,31,1,1,ir_ui_menu_group_rel_gid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
72,14,31,1,1,ir_ui_menu_parent_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
73,14,31,1,1,ir_ui_menu_create_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
74,14,31,1,1,ir_ui_menu_write_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
75,15,31,1,1,ir_ui_view_custom_ref_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
76,15,31,1,1,ir_ui_view_custom_user_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
77,15,31,1,1,ir_ui_view_custom_create_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
78,15,31,1,1,ir_ui_view_custom_write_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
79,95,31,1,1,ir_ui_view_group_rel_view_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
80,16,31,1,1,ir_ui_view_group_rel_group_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
81,16,31,1,1,ir_ui_view_inherit_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
82,16,31,1,1,ir_ui_view_create_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
83,16,31,1,1,ir_ui_view_write_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
84,17,31,1,1,reset_view_arch_wizard_view_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
85,17,31,1,1,reset_view_arch_wizard_compare_view_id_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
86,17,31,1,1,reset_view_arch_wizard_create_uid_fkey,,f,"{""en_US"": null}",2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
