id,currency_id,company_id,group_id,root_id,create_uid,write_uid,code,account_type,internal_group,name,note,deprecated,include_initial_balance,reconcile,non_trade,create_date,write_date
19,,1,,49048,1,1,101800,asset_fixed,asset,"{""en_US"": ""Misc Assets""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
20,,1,,49049,1,1,111100,liability_current,liability,"{""en_US"": ""Capital Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
21,,1,,49049,1,1,111200,liability_current,liability,"{""en_US"": ""Reserve And Surplus Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
22,,1,,49049,1,1,112110,liability_payable,liability,"{""en_US"": ""Creditors""}",,f,t,t,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
23,,1,,49049,1,1,112210,liability_current,liability,"{""en_US"": ""Bank OD Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
24,,1,,49049,1,1,112220,liability_current,liability,"{""en_US"": ""Secured Loan Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
25,,1,,49049,1,1,112230,liability_current,liability,"{""en_US"": ""Unsecured Loan Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
33,,1,,49049,1,1,112430,liability_current,liability,"{""en_US"": ""Notes Payable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
34,,1,,50048,1,1,200110,income,income,"{""en_US"": ""Local Sales""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
35,,1,,50048,1,1,200120,income,income,"{""en_US"": ""Retail Sales""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
36,,1,,50048,1,1,200130,income,income,"{""en_US"": ""Export Sales""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
37,,1,,50048,1,1,200210,income,income,"{""en_US"": ""Local Services""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
38,,1,,50048,1,1,200220,income,income,"{""en_US"": ""Export Services""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
39,,1,,50048,1,1,201000,income,income,"{""en_US"": ""Interest Revenues""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
