id,relation_field_id,model_id,related_field_id,size,create_uid,write_uid,name,complete_name,model,relation,relation_field,ttype,related,state,on_delete,domain,relation_table,column1,column2,depends,currency_field,field_description,help,compute,copied,required,readonly,index,translate,group_expand,selectable,store,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,create_date,write_date,tracking,website_form_blacklisted
8626,,594,,,,,company_id,,account.report.external.value,res.company,,many2one,,base,restrict,,,,,,,"{""en_US"": ""Company""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8627,,594,,,,,foreign_vat_fiscal_position_id,,account.report.external.value,account.fiscal.position,,many2one,,base,set null,,,,,,,"{""en_US"": ""Fiscal position""}","{""en_US"": ""The foreign fiscal position for which this external value is made.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8628,,594,,,,,carryover_origin_expression_label,,account.report.external.value,,,char,,base,,,,,,,,"{""en_US"": ""Origin Expression Label""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8629,,594,,,,,carryover_origin_report_line_id,,account.report.external.value,account.report.line,,many2one,,base,set null,,,,,,,"{""en_US"": ""Origin Line""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8630,,594,,,,,id,,account.report.external.value,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8631,,594,,,,,display_name,,account.report.external.value,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8632,,594,,,,,create_uid,,account.report.external.value,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8633,,594,,,,,create_date,,account.report.external.value,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8634,,594,,,,,write_uid,,account.report.external.value,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8635,,594,,,,,write_date,,account.report.external.value,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8636,,442,,,,,fiscal_country_codes,,uom.uom,,,char,,base,,,,,,,,"{""en_US"": ""Fiscal Country Codes""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8637,,595,,,,,action,,account.automatic.entry.wizard,,,selection,,base,,,,,,,,"{""en_US"": ""Action""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8638,,595,,,,,move_data,,account.automatic.entry.wizard,,,text,,base,,,,,,,,"{""en_US"": ""Move Data""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8639,,595,,,,,preview_move_data,,account.automatic.entry.wizard,,,text,,base,,,,,,,,"{""en_US"": ""Preview Move Data""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8640,,595,,,,,move_line_ids,,account.automatic.entry.wizard,account.move.line,,many2many,,base,,,account_automatic_entry_wizard_account_move_line_rel,account_automatic_entry_wizard_id,account_move_line_id,,,"{""en_US"": ""Move Line""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8641,,595,,,,,date,,account.automatic.entry.wizard,,,date,,base,,,,,,,,"{""en_US"": ""Date""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8642,,595,,,,,company_id,,account.automatic.entry.wizard,res.company,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Company""}",,,t,t,t,f,f,,t,t,,,,,,,,,,,,t
8643,,595,,,,,company_currency_id,,account.automatic.entry.wizard,res.currency,,many2one,company_id.currency_id,base,,,,,,,,"{""en_US"": ""Currency""}",,,f,f,t,f,f,,t,f,,,,,,,,,,,,t
8644,,595,,,,,percentage,,account.automatic.entry.wizard,,,float,,base,,,,,,,,"{""en_US"": ""Percentage""}","{""en_US"": ""Percentage of each line to execute the action on.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8645,,595,,,,,total_amount,,account.automatic.entry.wizard,,,monetary,,base,,,,,,,company_currency_id,"{""en_US"": ""Total Amount""}","{""en_US"": ""Total amount impacted by the automatic entry.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8646,,595,,,,,journal_id,,account.automatic.entry.wizard,account.journal,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Journal""}","{""en_US"": ""Journal where to create the entry.""}",,f,t,f,f,f,,f,f,,,,,,,,,,,,t
8647,,595,,,,,account_type,,account.automatic.entry.wizard,,,selection,,base,,,,,,,,"{""en_US"": ""Account Type""}",,,f,f,t,f,f,,t,t,,,,,,,,,,,,t
8648,,595,,,,,expense_accrual_account,,account.automatic.entry.wizard,account.account,,many2one,,base,set null,,,,,,,"{""en_US"": ""Expense Accrual Account""}",,,f,f,f,f,f,,f,f,,,,,,,,,,,,t
8649,,595,,,,,revenue_accrual_account,,account.automatic.entry.wizard,account.account,,many2one,,base,set null,,,,,,,"{""en_US"": ""Revenue Accrual Account""}",,,f,f,f,f,f,,f,f,,,,,,,,,,,,t
8650,,595,,,,,lock_date_message,,account.automatic.entry.wizard,,,char,,base,,,,,,,,"{""en_US"": ""Lock Date Message""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8651,,595,,,,,destination_account_id,,account.automatic.entry.wizard,account.account,,many2one,,base,set null,,,,,,,"{""en_US"": ""To""}","{""en_US"": ""Account to transfer to.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8652,,595,,,,,display_currency_helper,,account.automatic.entry.wizard,,,boolean,,base,,,,,,,,"{""en_US"": ""Currency Conversion Helper""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8653,,595,,,,,id,,account.automatic.entry.wizard,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8654,,595,,,,,display_name,,account.automatic.entry.wizard,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8655,,595,,,,,create_uid,,account.automatic.entry.wizard,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8656,,595,,,,,create_date,,account.automatic.entry.wizard,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8657,,595,,,,,write_uid,,account.automatic.entry.wizard,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8658,,595,,,,,write_date,,account.automatic.entry.wizard,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8659,,596,,,,,id,,account.unreconcile,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8660,,596,,,,,display_name,,account.unreconcile,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8661,,596,,,,,create_uid,,account.unreconcile,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8662,,596,,,,,create_date,,account.unreconcile,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8663,,596,,,,,write_uid,,account.unreconcile,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8664,,596,,,,,write_date,,account.unreconcile,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8665,,597,,,,,force_post,,validate.account.move,,,boolean,,base,,,,,,,,"{""en_US"": ""Force""}","{""en_US"": ""Entries in the future are set to be auto-posted by default. Check this checkbox to post them now.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8666,,597,,,,,id,,validate.account.move,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8667,,597,,,,,display_name,,validate.account.move,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8668,,597,,,,,create_uid,,validate.account.move,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
