id,binding_model_id,create_uid,write_uid,type,binding_type,binding_view_types,name,help,create_date,write_date
57,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Vendors""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Create a new vendor in your address book\n              </p><p>\n                Odoo helps you easily track all activities related to a vendor.\n              </p>\n            ""}",2024-04-18 07:38:41.908233,2024-04-18 07:40:31.747973
145,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""You are about to install an extra application""}",,2024-04-18 07:40:38.671091,2024-04-18 07:40:38.671091
146,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Blacklisted Phone Numbers""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                Add a phone number in the blacklist\n            </p><p>\n                Blacklisted phone numbers won't receive SMS Mailings anymore.\n            </p>\n        ""}",2024-04-18 07:40:39.777727,2024-04-18 07:40:39.777727
147,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Privacy Lookup""}",,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
148,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Privacy Lookup Line""}",,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
151,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Privacy Logs""}",,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
152,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Privacy Logs""}",,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
155,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Register Departure""}",,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
156,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""On/Offboarding Plans""}","{""en_US"": ""<p class=\""o_view_nocontent_smiling_face\"">\n                    Add a new plan\n                </p>\n            ""}",2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
157,,1,1,ir.actions.act_window,action,"list,form","{""en_US"": ""Launch Plan""}",,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
